,Station,x,y,stop_id_new,stop_name_new
196,place-fenwd,8.562,12.35,70251,Fenwood Road - Outbound
197,place-mispk,8.067,12.845,70254,Mission Park - Inbound
198,place-mispk,8.067,12.845,70253,Mission Park - Outbound
199,place-rvrwy,7.572,13.34,70256,Riverway - Inbound
200,place-rvrwy,7.572,13.34,70255,Riverway - Outbound
201,place-bckhl,7.077,13.835,70258,Back of the Hill - Inbound
202,place-bckhl,7.077,13.835,70257,Back of the Hill - Outbound
203,place-hsmnl,6.37,14.542,70260,Heath Street
204,place-bomnl,14.451,6.047,70838,Bowdoin - Outbound
205,place-bomnl,14.451,6.047,70038,Bowdoin - Inbound
206,place-chmnl,13.602,6.612,70074,Charles/MGH - Outbound
207,place-chmnl,13.602,6.612,70073,Charles/MGH - Inbound
208,place-haecl,15.865,6.047,70204,Haymarket - Green Line Inbound
209,place-haecl,15.865,6.047,70203,Haymarket - Green Line Outbound
210,place-haecl,15.865,6.047,70025,Haymarket - Orange Line Outbound
211,place-haecl,15.865,6.047,70024,Haymarket - Orange Line Inbound
212,place-ccmnl,16.926,4.2,70029,Community College - Outbound
213,place-ccmnl,16.926,4.2,70028,Community College - Inbound
214,place-knncl,12.753,5.763,70072,Kendall/MIT - Outbound
215,place-knncl,12.753,5.763,70071,Kendall/MIT - Inbound
216,place-north,15.865,5.047,70206,North Station - Green Line Inbound
217,place-north,15.865,5.047,70205,North Station - Green Line Outbound
218,place-north,15.865,5.047,70027,North Station - Orange Line Outbound
219,place-north,15.865,5.047,70026,North Station - Orange Line Inbound
220,place-sull,16.926,3.2,70031,Sullivan Square - Outbound
221,place-sull,16.926,3.2,70030,Sullivan Square - Inbound
222,place-cntsq,11.904,4.914,70070,Central - Outbound
223,place-cntsq,11.904,4.914,70069,Central - Inbound
224,place-spmnl,15.158,4.34,70208,Science Park - Inbound
225,place-spmnl,15.158,4.34,70207,Science Park - Outbound
226,place-harsq,11.055,4.065,70068,Harvard - Outbound
227,place-harsq,11.055,4.065,70067,Harvard - Inbound
228,place-lech,14.451,3.633,70210,Lechmere - Inbound
229,place-lech,14.451,3.633,70209,Lechmere - Outbound
230,place-welln,16.926,1.6,70033,Wellington - Outbound
231,place-welln,16.926,1.6,70032,Wellington - Inbound
232,place-portr,10.206,3.216,70066,Porter - Outbound
233,place-portr,10.206,3.216,70065,Porter - Inbound
234,place-mlmnl,16.926,0.8,70035,Malden - Outbound
235,place-mlmnl,16.926,0.8,70034,Malden - Inbound
236,place-davis,9.206,3.216,70064,Davis - Outbound
237,place-davis,9.206,3.216,70063,Davis - Inbound
238,place-ogmnl,16.926,0,70036,Oak Grove
239,place-alfcl,8.206,3.216,70061,Alewife
240,place-astao,16.926,2.4,70278,Assembly - Inbound
241,place-astao,16.926,2.4,70279,Assembly - Outbound
