,y,x,stop_id_old,stop_id_new,stop_name_new
582,3.535533906,9.899494937,place-engav,70236,Englewood Avenue - Inbound
581,3.535533906,9.899494937,place-engav,70235,Englewood Avenue - Outbound
539,4.242640687,9.192388155,place-denrd,70234,Dean Road - Inbound
538,4.242640687,9.192388155,place-denrd,70233,Dean Road - Outbound
1838,4.949747468,8.485281374,place-tapst,70232,Tappan Street - Inbound
1837,4.949747468,8.485281374,place-tapst,70231,Tappan Street - Outbound
185,5.656854249,7.778174593,place-bcnwa,70230,Washington Square - Inbound
184,5.656854249,7.778174593,place-bcnwa,70229,Washington Square - Outbound
591,6.363961031,7.071067812,place-fbkst,70228,Fairbanks Street - Inbound
590,6.363961031,7.071067812,place-fbkst,70227,Fairbanks Street - Outbound
242,7.071067812,6.363961031,place-bndhl,70226,Brandon Hall - Inbound
241,7.071067812,6.363961031,place-bndhl,70225,Brandon Hall - Outbound
1820,7.778174593,5.656854249,place-sumav,70224,Summit Avenue - Inbound
1819,7.778174593,5.656854249,place-sumav,70223,Summit Avenue - Outbound
491,8.485281374,4.949747468,place-cool,70220,Coolidge Corner - Inbound
490,8.485281374,4.949747468,place-cool,70219,Coolidge Corner - Outbound
1786,9.192388155,4.242640687,place-stpul,70218,Saint Paul Street - Inbound
1785,9.192388155,4.242640687,place-stpul,70217,Saint Paul Street - Outbound
937,10.19238816,4.242640687,place-kntst,70216,Kent Street - Inbound
936,10.19238816,4.242640687,place-kntst,70215,Kent Street - Outbound
819,10.89949494,4.949747468,place-hwsst,70214,Hawes Street - Inbound
818,10.89949494,4.949747468,place-hwsst,70213,Hawes Street - Outbound
1666,11.60660172,5.656854249,place-smary,70212,Saint Mary Street - Inbound
1665,11.60660172,5.656854249,place-smary,70211,Saint Mary Street - Outbound
956,18.60660172,1.828427125,place-lech,70210,Lechmere - Inbound
955,18.60660172,1.828427125,place-lech,70209,Lechmere - Outbound
1693,19.3137085,2.535533906,place-spmnl,70208,Science Park - Inbound
1692,19.3137085,2.535533906,place-spmnl,70207,Science Park - Outbound
1149,8.485281374,5,place-north,70206,North Station - Green Line Inbound
1148,8.485281374,5,place-north,70205,North Station - Green Line Outbound
731,8.485281374,6,place-haecl,70204,Haymarket - Green Line Inbound
730,8.485281374,6,place-haecl,70203,Haymarket - Green Line Outbound
678,7.071067812,6,place-gover,70202,Government Center - Green Line Westbound
677,7.071067812,6,place-gover,70201,Government Center - Green Line Eastbound
1292,6.363961031,6.707106781,place-pktrm,70200,Park Street - Green Line Eastbound
1291,6.363961031,6.707106781,place-pktrm,70199,Park Street - Green Line - E Branch Berth
1290,6.363961031,6.707106781,place-pktrm,70198,Park Street - Green Line - D Branch Berth
1289,6.363961031,6.707106781,place-pktrm,70197,Park Street - Green Line - C Branch Berth
1288,6.363961031,6.707106781,place-pktrm,70196,Park Street - Green Line - B Branch Berth
610,12.19238816,7.071067812,place-fenwy,70187,Fenway - Outbound
609,12.19238816,7.071067812,place-fenwy,70186,Fenway - Inbound
980,11.48528137,7.778174593,place-longw,70183,Longwood - Outbound
979,11.48528137,7.778174593,place-longw,70182,Longwood - Inbound
366,10.77817459,8.485281374,place-bvmnl,70181,Brookline Village - Outbound
365,10.77817459,8.485281374,place-bvmnl,70180,Brookline Village - Inbound
300,10.07106781,9.192388155,place-brkhl,70179,Brookline Hills - Outbound
299,10.07106781,9.192388155,place-brkhl,70178,Brookline Hills - Inbound
174,9.363961031,9.899494937,place-bcnfd,70177,Beaconsfield - Outbound
173,9.363961031,9.899494937,place-bcnfd,70176,Beaconsfield - Inbound
