origin_id,origin_name,origin_lat,origin_lon,dest_id,dest_name,dest_lat,dest_long,line
70172,Chestnut Hill - Inbound,42.326653,-71.165314,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70174,Reservoir - Inbound,42.335027,-71.148952,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70176,Beaconsfield - Inbound,42.335846,-71.140823,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70178,Brookline Hills - Inbound,42.331333,-71.126999,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70180,Brookline Village - Inbound,42.332774,-71.116296,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70182,Longwood - Inbound,42.341145,-71.110451,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70186,Fenway - Inbound,42.345394,-71.104187,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70202,Government Center - Green Line Westbound,42.359705,-71.059215,70199,Park Street - Green Line - E Branch Berth,42.35639457,-71.0624242,Green
70204,Haymarket - Green Line Inbound,42.363021,-71.05829,70199,Park Street - Green Line - E Branch Berth,42.35639457,-71.0624242,Green
70206,North Station - Green Line Inbound,42.365577,-71.06129,70199,Park Street - Green Line - E Branch Berth,42.35639457,-71.0624242,Green
70208,Science Park - Inbound,42.366664,-71.067666,70199,Park Street - Green Line - E Branch Berth,42.35639457,-71.0624242,Green
70210,Lechmere - Inbound,42.370772,-71.076536,70199,Park Street - Green Line - E Branch Berth,42.35639457,-71.0624242,Green
70212,Saint Mary Street - Inbound,42.345974,-71.107353,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70214,Hawes Street - Inbound,42.344906,-71.111145,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70216,Kent Street - Inbound,42.344074,-71.114197,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70218,Saint Paul Street - Inbound,42.343327,-71.116997,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70220,Coolidge Corner - Inbound,42.342116,-71.121263,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70224,Summit Avenue - Inbound,42.34111,-71.12561,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70226,Brandon Hall - Inbound,42.340023,-71.129082,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
