,arr_dt,benchmark_travel_time_sec,dep_dt,dest_id,direction,origin_id,route_id,threshold_flag_1,threshold_flag_2,threshold_flag_3,travel_time_sec
168,1514502651,60,1514502617,70057,0,70060,Blue,,,,34
169,1514502955,60,1514502917,70057,0,70060,Blue,,,,38
170,1514503517,60,1514503499,70057,0,70060,Blue,,,,18
171,1514503806,60,1514503771,70057,0,70060,Blue,,,,35
172,1514504401,60,1514504363,70057,0,70060,Blue,,,,38
173,1514504751,60,1514504735,70057,0,70060,Blue,,,,16
174,1514505227,60,1514505192,70057,0,70060,Blue,,,,35
175,1514505404,60,1514505368,70057,0,70060,Blue,,,,36
0,1514419243,60,1514419174,70055,0,70057,Blue,,,,69
1,1514419568,60,1514419497,70055,0,70057,Blue,,,,71
2,1514420185,60,1514420115,70055,0,70057,Blue,,,,70
3,1514420611,60,1514420544,70055,0,70057,Blue,,,,67
4,1514421185,60,1514421115,70055,0,70057,Blue,,,,70
5,1514421638,60,1514421569,70055,0,70057,Blue,,,,69
6,1514422157,60,1514422089,70055,0,70057,Blue,,,,68
7,1514422780,60,1514422705,70055,0,70057,Blue,,,,75
8,1514423619,60,1514423545,70055,0,70057,Blue,,,,74
9,1514423868,60,1514423800,70055,0,70057,Blue,,,,68
10,1514424320,60,1514424249,70055,0,70057,Blue,,,,71
11,1514424745,60,1514424674,70055,0,70057,Blue,,,,71
12,1514425362,60,1514425294,70055,0,70057,Blue,,,,68
13,1514426133,60,1514426066,70055,0,70057,Blue,,,,67
14,1514427061,60,1514426988,70055,0,70057,Blue,,,,73
15,1514427191,60,1514427121,70055,0,70057,Blue,,,,70
16,1514428295,60,1514428228,70055,0,70057,Blue,,,,67
17,1514428776,60,1514428709,70055,0,70057,Blue,,,,67
18,1514429310,60,1514429242,70055,0,70057,Blue,,,,68
19,1514429814,60,1514429746,70055,0,70057,Blue,,,,68
20,1514430353,60,1514430279,70055,0,70057,Blue,,,,74
21,1514430882,60,1514430813,70055,0,70057,Blue,,,,69
22,1514431362,60,1514431295,70055,0,70057,Blue,,,,67
23,1514431842,60,1514431772,70055,0,70057,Blue,,,,70
24,1514432369,60,1514432300,70055,0,70057,Blue,,,,69
25,1514432921,60,1514432853,70055,0,70057,Blue,,,,68
26,1514433473,60,1514433401,70055,0,70057,Blue,,,,72
27,1514433996,60,1514433927,70055,0,70057,Blue,,,,69
28,1514434530,60,1514434461,70055,0,70057,Blue,,,,69
29,1514435074,60,1514435006,70055,0,70057,Blue,,,,68
30,1514435610,60,1514435540,70055,0,70057,Blue,,,,70
31,1514436164,60,1514436094,70055,0,70057,Blue,,,,70
32,1514436648,60,1514436577,70055,0,70057,Blue,,,,71
33,1514437139,60,1514437070,70055,0,70057,Blue,,,,69
34,1514437593,60,1514437525,70055,0,70057,Blue,,,,68
35,1514438431,60,1514438363,70055,0,70057,Blue,,,,68
36,1514438949,60,1514438881,70055,0,70057,Blue,,,,68
37,1514439351,60,1514439283,70055,0,70057,Blue,,,,68
38,1514456267,60,1514456197,70055,0,70057,Blue,,,,70
39,1514456516,60,1514456445,70055,0,70057,Blue,,,,71
40,1514456930,60,1514456861,70055,0,70057,Blue,,,,69
41,1514457280,60,1514457211,70055,0,70057,Blue,,,,69
42,1514457713,60,1514457638,70055,0,70057,Blue,,,,75
43,1514458070,60,1514457997,70055,0,70057,Blue,,,,73
44,1514458540,60,1514458455,70055,0,70057,Blue,,,,85
45,1514458801,60,1514458724,70055,0,70057,Blue,,,,77
46,1514459192,60,1514459122,70055,0,70057,Blue,,,,70
47,1514459522,60,1514459449,70055,0,70057,Blue,,,,73
48,1514459892,60,1514459824,70055,0,70057,Blue,,,,68
49,1514460176,60,1514460105,70055,0,70057,Blue,,,,71
50,1514460459,60,1514460390,70055,0,70057,Blue,,,,69
51,1514460696,60,1514460626,70055,0,70057,Blue,,,,70
52,1514461012,60,1514460941,70055,0,70057,Blue,,,,71
53,1514461365,60,1514461286,70055,0,70057,Blue,,,,79
54,1514461550,60,1514461481,70055,0,70057,Blue,,,,69
55,1514461785,60,1514461710,70055,0,70057,Blue,,,,75
56,1514462103,60,1514462029,70055,0,70057,Blue,,,,74
57,1514462326,60,1514462255,70055,0,70057,Blue,,,,71
58,1514462708,60,1514462634,70055,0,70057,Blue,,,,74
59,1514462904,60,1514462833,70055,0,70057,Blue,,,,71
60,1514463191,60,1514463123,70055,0,70057,Blue,,,,68
61,1514463429,60,1514463360,70055,0,70057,Blue,,,,69
62,1514463692,60,1514463623,70055,0,70057,Blue,,,,69
63,1514463943,60,1514463874,70055,0,70057,Blue,,,,69
64,1514464251,60,1514464183,70055,0,70057,Blue,,,,68
65,1514464510,60,1514464438,70055,0,70057,Blue,,,,72
66,1514464786,60,1514464718,70055,0,70057,Blue,,,,68
67,1514465028,60,1514464959,70055,0,70057,Blue,,,,69
68,1514465379,60,1514465310,70055,0,70057,Blue,,,,69
69,1514465648,60,1514465601,70055,0,70057,Blue,,,,47
70,1514465909,60,1514465831,70055,0,70057,Blue,,,,78
71,1514466117,60,1514466046,70055,0,70057,Blue,,,,71
72,1514466416,60,1514466369,70055,0,70057,Blue,,,,47
73,1514466679,60,1514466609,70055,0,70057,Blue,,,,70
74,1514466934,60,1514466865,70055,0,70057,Blue,,,,69
75,1514467178,60,1514467109,70055,0,70057,Blue,,,,69
76,1514467542,60,1514467471,70055,0,70057,Blue,,,,71
77,1514467728,60,1514467660,70055,0,70057,Blue,,,,68
78,1514468035,60,1514467964,70055,0,70057,Blue,,,,71
79,1514468289,60,1514468220,70055,0,70057,Blue,,,,69
80,1514468575,60,1514468505,70055,0,70057,Blue,,,,70
81,1514468848,60,1514468779,70055,0,70057,Blue,,,,69
82,1514469264,60,1514469196,70055,0,70057,Blue,,,,68
83,1514469506,60,1514469438,70055,0,70057,Blue,,,,68
84,1514469721,60,1514469652,70055,0,70057,Blue,,,,69
85,1514470119,60,1514470051,70055,0,70057,Blue,,,,68
86,1514470231,60,1514470161,70055,0,70057,Blue,,,,70
87,1514470555,60,1514470487,70055,0,70057,Blue,,,,68
88,1514470874,60,1514470803,70055,0,70057,Blue,,,,71
89,1514471391,60,1514471321,70055,0,70057,Blue,,,,70
90,1514471813,60,1514471743,70055,0,70057,Blue,,,,70
91,1514472356,60,1514472287,70055,0,70057,Blue,,,,69
92,1514472944,60,1514472875,70055,0,70057,Blue,,,,69
93,1514473452,60,1514473383,70055,0,70057,Blue,,,,69
94,1514473899,60,1514473829,70055,0,70057,Blue,,,,70
95,1514474456,60,1514474387,70055,0,70057,Blue,,,,69
96,1514474927,60,1514474853,70055,0,70057,Blue,,,,74
97,1514475498,60,1514475428,70055,0,70057,Blue,,,,70
98,1514476014,60,1514475943,70055,0,70057,Blue,,,,71
99,1514476468,60,1514476399,70055,0,70057,Blue,,,,69
100,1514477026,60,1514476959,70055,0,70057,Blue,,,,67
101,1514477588,60,1514477519,70055,0,70057,Blue,,,,69
102,1514478051,60,1514477977,70055,0,70057,Blue,,,,74
103,1514478596,60,1514478521,70055,0,70057,Blue,,,,75
104,1514479124,60,1514479053,70055,0,70057,Blue,,,,71
105,1514479600,60,1514479532,70055,0,70057,Blue,,,,68
106,1514480135,60,1514480068,70055,0,70057,Blue,,,,67
107,1514480712,60,1514480644,70055,0,70057,Blue,,,,68
108,1514481166,60,1514481098,70055,0,70057,Blue,,,,68
109,1514481688,60,1514481620,70055,0,70057,Blue,,,,68
110,1514482250,60,1514482179,70055,0,70057,Blue,,,,71
111,1514482722,60,1514482653,70055,0,70057,Blue,,,,69
112,1514483267,60,1514483194,70055,0,70057,Blue,,,,73
113,1514483813,60,1514483744,70055,0,70057,Blue,,,,69
114,1514484278,60,1514484209,70055,0,70057,Blue,,,,69
115,1514484811,60,1514484742,70055,0,70057,Blue,,,,69
116,1514485370,60,1514485302,70055,0,70057,Blue,,,,68
117,1514485848,60,1514485778,70055,0,70057,Blue,,,,70
118,1514486335,60,1514486263,70055,0,70057,Blue,,,,72
119,1514486805,60,1514486732,70055,0,70057,Blue,,,,73
120,1514487117,60,1514487041,70055,0,70057,Blue,,,,76
121,1514487537,60,1514487468,70055,0,70057,Blue,,,,69
122,1514487986,60,1514487917,70055,0,70057,Blue,,,,69
123,1514488738,60,1514488671,70055,0,70057,Blue,,,,67
124,1514489090,60,1514489021,70055,0,70057,Blue,,,,69
125,1514489564,60,1514489495,70055,0,70057,Blue,,,,69
126,1514489927,60,1514489857,70055,0,70057,Blue,,,,70
127,1514490230,60,1514490163,70055,0,70057,Blue,,,,67
128,1514490492,60,1514490424,70055,0,70057,Blue,,,,68
129,1514490815,60,1514490746,70055,0,70057,Blue,,,,69
130,1514491057,60,1514490987,70055,0,70057,Blue,,,,70
131,1514491632,60,1514491561,70055,0,70057,Blue,,,,71
132,1514491905,60,1514491837,70055,0,70057,Blue,,,,68
133,1514492268,60,1514492198,70055,0,70057,Blue,,,,70
134,1514492596,60,1514492526,70055,0,70057,Blue,,,,70
135,1514492902,60,1514492832,70055,0,70057,Blue,,,,70
136,1514493140,60,1514493071,70055,0,70057,Blue,,,,69
137,1514493290,60,1514493217,70055,0,70057,Blue,,,,73
138,1514493527,60,1514493453,70055,0,70057,Blue,,,,74
139,1514493819,60,1514493751,70055,0,70057,Blue,,,,68
