"","origin_name","dest_name","dep_time_by15.x","origin_id","dest_id","route_id","benchmark_travel_time_sec","orig_name_old","dest_name_old","link","avg_pct_benchmark"
"38","Broadway - Red Line - Ashmont/Braintree","Andrew - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70081,70083,"Red",120,"place-brdwy","place-andrw","place-brdwy|place-andrw",1.55625
"39","Brookline Hills - Green Line - (D) Riverside","Beaconsfield - Green Line - (D) Riverside","2017-12-28 08:29:00",70179,70177,"Green-D",180,"place-brkhl","place-bcnfd","place-brkhl|place-bcnfd",0.502777777777778
"40","Brookline Hills - Green Line - Park Street & North","Brookline Village - Green Line - Park Street & North","2017-12-28 08:29:00",70178,70180,"Green-D",120,"place-brkhl","place-bvmnl","place-brkhl|place-bvmnl",0.35
"41","Brookline Village - Green Line - (D) Riverside","Brookline Hills - Green Line - (D) Riverside","2017-12-28 08:29:00",70181,70179,"Green-D",120,"place-bvmnl","place-brkhl","place-bvmnl|place-brkhl",0.505555555555556
"42","Brookline Village - Green Line - Park Street & North","Longwood - Green Line - Park Street & North","2017-12-28 08:29:00",70180,70182,"Green-D",120,"place-bvmnl","place-longw","place-bvmnl|place-longw",0.625
"43","Central - Red Line - Alewife","Harvard - Red Line - Alewife","2017-12-28 08:29:00",70070,70068,"Red",300,"place-cntsq","place-harsq","place-cntsq|place-harsq",0.53
"44","Central - Red Line - Ashmont/Braintree","Kendall/MIT - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70069,70071,"Red",180,"place-cntsq","place-knncl","place-cntsq|place-knncl",0.633333333333333
"45","Charles/MGH - Red Line - Alewife","Kendall/MIT - Red Line - Alewife","2017-12-28 08:29:00",70074,70072,"Red",180,"place-chmnl","place-knncl","place-chmnl|place-knncl",1.03333333333333
"46","Charles/MGH - Red Line - Ashmont/Braintree","Park Street - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70073,70075,"Red",180,"place-chmnl","place-pktrm","place-chmnl|place-pktrm",0.330555555555556
"47","Chestnut Hill - Green Line - (D) Riverside","Newton Centre - Green Line - (D) Riverside","2017-12-28 08:29:00",70173,70171,"Green-D",240,"place-chhil","place-newto","place-chhil|place-newto",0.733333333333333
"48","Chestnut Hill - Green Line - Park Street & North","Reservoir - Green Line - Park Street & North","2017-12-28 08:29:00",70172,70174,"Green-D",180,"place-chhil","place-rsmnl","place-chhil|place-rsmnl",0.611111111111111
"49","Chestnut Hill Avenue - Green Line - (B) Boston College","South Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70113,70111,"Green-B",60,"place-chill","place-sougr","place-chill|place-sougr",0.808333333333333
"50","Chestnut Hill Avenue - Green Line - Park Street & North","Chiswick Road - Green Line - Park Street & North","2017-12-28 08:29:00",70112,70114,"Green-B",120,"place-chill","place-chswk","place-chill|place-chswk",0.275
"51","Chinatown - Orange Line - Forest Hills","Tufts Medical Center - Orange Line - Forest Hills","2017-12-28 08:29:00",70018,70016,"Orange",60,"place-chncl","place-tumnl","place-chncl|place-tumnl",0.533333333333333
"52","Chiswick Road - Green Line - (B) Boston College","Chestnut Hill Avenue - Green Line - (B) Boston College","2017-12-28 08:29:00",70115,70113,"Green-B",120,"place-chswk","place-chill","place-chswk|place-chill",0.4
"53","Chiswick Road - Green Line - Park Street & North","Sutherland Road - Green Line - Park Street & North","2017-12-28 08:29:00",70114,70116,"Green-B",120,"place-chswk","place-sthld","place-chswk|place-sthld",0.25
"54","Community College - Orange Line - Forest Hills","North Station - Orange Line - Forest Hills","2017-12-28 08:29:00",70028,70026,"Orange",180,"place-ccmnl","place-north","place-ccmnl|place-north",0.959259259259259
"55","Community College - Orange Line - Oak Grove","Sullivan Square - Orange Line - Oak Grove","2017-12-28 08:29:00",70029,70031,"Orange",120,"place-ccmnl","place-sull","place-ccmnl|place-sull",0.958333333333333
"56","Coolidge Corner - Green Line - Park Street & North","Saint Paul Street - Green Line - Park Street & North","2017-12-28 08:29:00",70220,70218,"Green-C",120,"place-cool","place-stpul","place-cool|place-stpul",0.329166666666667
"57","Copley - Green Line - Kenmore & West/Heath Street","Hynes Convention Center - Green Line - Kenmore & West","2017-12-28 08:29:00",70155,70153,"Green-C",240,"place-coecl","place-hymnl","place-coecl|place-hymnl",0.610353535353535
"58","Copley - Green Line - Park Street & North","Arlington - Green Line - Park Street & North","2017-12-28 08:29:00",70154,70156,"Green-E",120,"place-coecl","place-armnl","place-coecl|place-armnl",0.6025
"59","Davis - Red Line - Ashmont/Braintree","Porter - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70063,70065,"Red",120,"place-davis","place-portr","place-davis|place-portr",0.544444444444444
"60","Dean Road - Green Line - Park Street & North","Tappan Street - Green Line - Park Street & North","2017-12-28 08:29:00",70234,70232,"Green-C",60,"place-denrd","place-tapst","place-denrd|place-tapst",0.3
"61","Downtown Crossing - Orange Line - Forest Hills","Chinatown - Orange Line - Forest Hills","2017-12-28 08:29:00",70020,70018,"Orange",120,"place-dwnxg","place-chncl","place-dwnxg|place-chncl",0.270833333333333
"62","Downtown Crossing - Orange Line - Oak Grove","State Street - Orange Line - Oak Grove","2017-12-28 08:29:00",70021,70023,"Orange",60,"place-dwnxg","place-state","place-dwnxg|place-state",0.425
"63","Downtown Crossing - Red Line - Ashmont/Braintree","South Station - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70077,70079,"Red",120,"place-dwnxg","place-sstat","place-dwnxg|place-sstat",0.210416666666667
"64","Eliot - Green Line - (D) Riverside","Waban - Green Line - (D) Riverside","2017-12-28 08:29:00",70167,70165,"Green-D",120,"place-eliot","place-waban","place-eliot|place-waban",0.933333333333333
"65","Eliot - Green Line - Park Street & North","Newton Highlands - Green Line - Park Street & North","2017-12-28 08:29:00",70166,70168,"Green-D",120,"place-eliot","place-newtn","place-eliot|place-newtn",1.01666666666667
"66","Englewood Avenue - Green Line - Park Street & North","Dean Road - Green Line - Park Street & North","2017-12-28 08:29:00",70236,70234,"Green-C",120,"place-engav","place-denrd","place-engav|place-denrd",0.1
"67","Fairbanks Street - Green Line - (C) Cleveland Circle","Washington Square - Green Line - (C) Cleveland Circle","2017-12-28 08:29:00",70227,70229,"Green-C",120,"place-fbkst","place-bcnwa","place-fbkst|place-bcnwa",0.3
"68","Fenway - Green Line - Park Street & North","Kenmore - Green Line - Park Street & North","2017-12-28 08:29:00",70186,70150,"Green-D",240,"place-fenwy","place-kencl","place-fenwy|place-kencl",0.339583333333333
"69","Fenwood Road - Green Line - (E) Heath Street","Mission Park - Green Line - (E) Heath Street","2017-12-28 08:29:00",70251,70253,"Green-E",180,"place-fenwd","place-mispk","place-fenwd|place-mispk",0.333333333333333
