"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"67",70076,70074,70076,"Park Street","Park Street - Red Line - Alewife","place-pktrm",70074,"Charles/MGH","Charles/MGH - Red Line - Alewife","place-chmnl"
"68",70073,70075,70073,"Charles/MGH","Charles/MGH - Red Line - Ashmont/Braintree","place-chmnl",70075,"Park Street","Park Street - Red Line - Ashmont/Braintree","place-pktrm"
"69",70078,70076,70078,"Downtown Crossing","Downtown Crossing - Red Line - Alewife","place-dwnxg",70076,"Park Street","Park Street - Red Line - Alewife","place-pktrm"
"70",70075,70077,70075,"Park Street","Park Street - Red Line - Ashmont/Braintree","place-pktrm",70077,"Downtown Crossing","Downtown Crossing - Red Line - Ashmont/Braintree","place-dwnxg"
"71",70080,70078,70080,"South Station","South Station - Red Line - Alewife","place-sstat",70078,"Downtown Crossing","Downtown Crossing - Red Line - Alewife","place-dwnxg"
"72",70077,70079,70077,"Downtown Crossing","Downtown Crossing - Red Line - Ashmont/Braintree","place-dwnxg",70079,"South Station","South Station - Red Line - Ashmont/Braintree","place-sstat"
"73",70082,70080,70082,"Broadway","Broadway - Red Line - Alewife","place-brdwy",70080,"South Station","South Station - Red Line - Alewife","place-sstat"
"74",70079,70081,70079,"South Station","South Station - Red Line - Ashmont/Braintree","place-sstat",70081,"Broadway","Broadway - Red Line - Ashmont/Braintree","place-brdwy"
"75",70084,70082,70084,"Andrew","Andrew - Red Line - Alewife","place-andrw",70082,"Broadway","Broadway - Red Line - Alewife","place-brdwy"
"76",70081,70083,70081,"Broadway","Broadway - Red Line - Ashmont/Braintree","place-brdwy",70083,"Andrew","Andrew - Red Line - Ashmont/Braintree","place-andrw"
"77",70086,70084,70086,"JFK/UMass","JFK/UMass - Red Line - Alewife (from Ashmont)","place-jfk",70084,"Andrew","Andrew - Red Line - Alewife","place-andrw"
"78",70096,70084,70096,"JFK/UMass","JFK/UMass - Red Line - Alewife (from Braintree)","place-jfk",70084,"Andrew","Andrew - Red Line - Alewife","place-andrw"
"79",70083,70085,70083,"Andrew","Andrew - Red Line - Ashmont/Braintree","place-andrw",70085,"JFK/UMass","JFK/UMass - Red Line - Ashmont","place-jfk"
"80",70088,70086,70088,"Savin Hill","Savin Hill - Red Line - Alewife","place-shmnl",70086,"JFK/UMass","JFK/UMass - Red Line - Alewife (from Ashmont)","place-jfk"
"81",70085,70087,70085,"JFK/UMass","JFK/UMass - Red Line - Ashmont","place-jfk",70087,"Savin Hill","Savin Hill - Red Line - Ashmont","place-shmnl"
"82",70090,70088,70090,"Fields Corner","Fields Corner - Red Line - Alewife","place-fldcr",70088,"Savin Hill","Savin Hill - Red Line - Alewife","place-shmnl"
"83",70087,70089,70087,"Savin Hill","Savin Hill - Red Line - Ashmont","place-shmnl",70089,"Fields Corner","Fields Corner - Red Line - Ashmont","place-fldcr"
"84",70092,70090,70092,"Shawmut","Shawmut - Red Line - Alewife","place-smmnl",70090,"Fields Corner","Fields Corner - Red Line - Alewife","place-fldcr"
"85",70089,70091,70089,"Fields Corner","Fields Corner - Red Line - Ashmont","place-fldcr",70091,"Shawmut","Shawmut - Red Line - Ashmont","place-smmnl"
"86",70094,70092,70094,"Ashmont","Ashmont - Red Line - Alewife","place-asmnl",70092,"Shawmut","Shawmut - Red Line - Alewife","place-smmnl"
"87",70091,70093,70091,"Shawmut","Shawmut - Red Line - Ashmont","place-smmnl",70093,"Ashmont","Ashmont - Red Line - Exit Only","place-asmnl"
"88",70083,70095,70083,"Andrew","Andrew - Red Line - Ashmont/Braintree","place-andrw",70095,"JFK/UMass","JFK/UMass - Red Line - Braintree","place-jfk"
"89",70098,70096,70098,"North Quincy","North Quincy - Red Line - Alewife","place-nqncy",70096,"JFK/UMass","JFK/UMass - Red Line - Alewife (from Braintree)","place-jfk"
"90",70095,70097,70095,"JFK/UMass","JFK/UMass - Red Line - Braintree","place-jfk",70097,"North Quincy","North Quincy - Red Line - Braintree","place-nqncy"
"91",70100,70098,70100,"Wollaston","Wollaston - Red Line - Alewife","place-wlsta",70098,"North Quincy","North Quincy - Red Line - Alewife","place-nqncy"
"92",70097,70099,70097,"North Quincy","North Quincy - Red Line - Braintree","place-nqncy",70099,"Wollaston","Wollaston - Red Line - Braintree","place-wlsta"
"93",70102,70100,70102,"Quincy Center","Quincy Center - Red Line - Alewife","place-qnctr",70100,"Wollaston","Wollaston - Red Line - Alewife","place-wlsta"
"94",70099,70101,70099,"Wollaston","Wollaston - Red Line - Braintree","place-wlsta",70101,"Quincy Center","Quincy Center - Red Line - Braintree","place-qnctr"
"95",70104,70102,70104,"Quincy Adams","Quincy Adams - Red Line - Alewife","place-qamnl",70102,"Quincy Center","Quincy Center - Red Line - Alewife","place-qnctr"
"96",70101,70103,70101,"Quincy Center","Quincy Center - Red Line - Braintree","place-qnctr",70103,"Quincy Adams","Quincy Adams - Red Line - Braintree","place-qamnl"
"97",70103,70105,70103,"Quincy Adams","Quincy Adams - Red Line - Braintree","place-qamnl",70105,"Braintree","Braintree - Red Line","place-brntn"
"98",70107,70105,70107,"Boston College","Boston College - Green Line - Exit Only","place-lake",70105,"Braintree","Braintree - Red Line","place-brntn"
"99",70106,70110,70106,"Boston College","Boston College - Green Line - Park Street & North","place-lake",70110,"South Street","South Street - Green Line - Park Street & North","place-sougr"
"100",70113,70111,70113,"Chestnut Hill Avenue","Chestnut Hill Avenue - Green Line - (B) Boston College","place-chill",70111,"South Street","South Street - Green Line - (B) Boston College","place-sougr"
"101",70110,70112,70110,"South Street","South Street - Green Line - Park Street & North","place-sougr",70112,"Chestnut Hill Avenue","Chestnut Hill Avenue - Green Line - Park Street & North","place-chill"
"102",70115,70113,70115,"Chiswick Road","Chiswick Road - Green Line - (B) Boston College","place-chswk",70113,"Chestnut Hill Avenue","Chestnut Hill Avenue - Green Line - (B) Boston College","place-chill"
"103",70112,70114,70112,"Chestnut Hill Avenue","Chestnut Hill Avenue - Green Line - Park Street & North","place-chill",70114,"Chiswick Road","Chiswick Road - Green Line - Park Street & North","place-chswk"
"104",70117,70115,70117,"Sutherland Road","Sutherland Road - Green Line - (B) Boston College","place-sthld",70115,"Chiswick Road","Chiswick Road - Green Line - (B) Boston College","place-chswk"
