from_stop,to_stop,Line
70243,70245,Green Line - E Branch - toward Heath
70245,70247,Green Line - E Branch - toward Heath
70247,70249,Green Line - E Branch - toward Heath
70249,70251,Green Line - E Branch - toward Heath
70251,70253,Green Line - E Branch - toward Heath
70253,70255,Green Line - E Branch - toward Heath
70255,70257,Green Line - E Branch - toward Heath
70257,70259,Green Line - E Branch - toward Heath
70260,70258,Green Line - E Branch - toward Park/Lechmere
70258,70256,Green Line - E Branch - toward Park/Lechmere
70256,70254,Green Line - E Branch - toward Park/Lechmere
70254,70252,Green Line - E Branch - toward Park/Lechmere
70252,70250,Green Line - E Branch - toward Park/Lechmere
70250,70248,Green Line - E Branch - toward Park/Lechmere
70248,70246,Green Line - E Branch - toward Park/Lechmere
70246,70244,Green Line - E Branch - toward Park/Lechmere
70244,70242,Green Line - E Branch - toward Park/Lechmere
70242,70240,Green Line - E Branch - toward Park/Lechmere
70148,70150,Green Line - Downtown - toward Lechmere
70150,70152,Green Line - Downtown - toward Lechmere
70152,70154,Green Line - Downtown - toward Lechmere
70154,70156,Green Line - Downtown - toward Lechmere
70156,70158,Green Line - Downtown - toward Lechmere
70158,70200,Green Line - Downtown - toward Lechmere
70200,70201,Green Line - Downtown - toward Lechmere
70201,70203,Green Line - Downtown - toward Lechmere
70203,70205,Green Line - Downtown - toward Lechmere
70205,70207,Green Line - Downtown - toward Lechmere
70207,70209,Green Line - Downtown - toward Lechmere
70212,70150,Green Line - Downtown - toward Lechmere
70186,70150,Green Line - Downtown - toward Lechmere
70240,70154,Green Line - Downtown - toward Lechmere
70210,70208,"Green Line - Downtown - toward B,C,D,E"
70208,70206,"Green Line - Downtown - toward B,C,D,E"
70206,70204,"Green Line - Downtown - toward B,C,D,E"
70204,70202,"Green Line - Downtown - toward B,C,D,E"
70202,70199,"Green Line - Downtown - toward B,C,D,E"
70202,70198,"Green Line - Downtown - toward B,C,D,E"
70202,70197,"Green Line - Downtown - toward B,C,D,E"
70202,70196,"Green Line - Downtown - toward B,C,D,E"
70199,70159,"Green Line - Downtown - toward B,C,D,E"
70198,70159,"Green Line - Downtown - toward B,C,D,E"
70197,70159,"Green Line - Downtown - toward B,C,D,E"
70196,70159,"Green Line - Downtown - toward B,C,D,E"
70159,70157,"Green Line - Downtown - toward B,C,D,E"
70157,70155,"Green Line - Downtown - toward B,C,D,E"
70155,70153,"Green Line - Downtown - toward B,C,D,E"
70153,70151,"Green Line - Downtown - toward B,C,D,E"
70151,70149,"Green Line - Downtown - toward B,C,D,E"
70155,70239,"Green Line - Downtown - toward B,C,D,E"
70151,70211,"Green Line - Downtown - toward B,C,D,E"
70151,70187,"Green Line - Downtown - toward B,C,D,E"
