,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
57,70044,70044.0,Aquarium - Outbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,70044,70044.0,Aquarium - Outbound,,,,0.0,place-aqucl,1.0
58,70044,70044.0,Aquarium - Outbound,,42.359784000000005,-71.051652,,,0.0,place-aqucl,0.0,place-aqucl,,Aquarium,,,,1.0,,1.0
59,place-armnl,,Arlington,,42.351902,-71.070893,,,1.0,,1.0,70156,70156.0,Arlington - Inbound,,,,0.0,place-armnl,1.0
60,place-armnl,,Arlington,,42.351902,-71.070893,,,1.0,,1.0,70157,70157.0,Arlington - Outbound,,,,0.0,place-armnl,1.0
61,place-armnl,,Arlington,,42.351902,-71.070893,,,1.0,,1.0,place-armnl,,Arlington,,,,1.0,,1.0
62,70156,70156.0,Arlington - Inbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,70156,70156.0,Arlington - Inbound,,,,0.0,place-armnl,1.0
63,70156,70156.0,Arlington - Inbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,70157,70157.0,Arlington - Outbound,,,,0.0,place-armnl,1.0
64,70156,70156.0,Arlington - Inbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,place-armnl,,Arlington,,,,1.0,,1.0
65,70157,70157.0,Arlington - Outbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,70156,70156.0,Arlington - Inbound,,,,0.0,place-armnl,1.0
66,70157,70157.0,Arlington - Outbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,70157,70157.0,Arlington - Outbound,,,,0.0,place-armnl,1.0
67,70157,70157.0,Arlington - Outbound,,42.351902,-71.070893,,,0.0,place-armnl,0.0,place-armnl,,Arlington,,,,1.0,,1.0
68,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
69,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
70,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
71,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
72,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
73,place-asmnl,,Ashmont,,42.284652,-71.064489,,,1.0,,1.0,place-asmnl,,Ashmont,,,,1.0,,1.0
74,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
75,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
76,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
77,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
78,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
79,334,334.0,Ashmont Station,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
80,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
81,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
82,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
83,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
84,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
85,397,397.0,Dorchester Ave @ Ashmont Busway,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
86,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
87,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
88,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
89,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
90,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
91,535,535.0,Dorchester Ave @ Mercier Ave,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
92,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
93,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
94,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
95,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
96,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
97,70093,70093.0,Ashmont - Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
98,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
99,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
100,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
101,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
102,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
